participantID,treatment,earnings,age2225,age2629,age3035,age3644,age4554
"300141",1,14459,1,0,0,0,0
"300144",0,3721,0,1,0,0,0
"300146",1,6261,1,0,0,0,0
"300153",0,35676,1,0,0,0,0
"300154",1,12758,0,0,0,1,0
"300155",0,0,1,0,0,0,0
"300156",1,9003,1,0,0,0,0
"300158",0,24135,0,1,0,0,0
"300159",0,2612,1,0,0,0,0
"300160",1,698,1,0,0,0,0
"300161",1,141,1,0,0,0,0
"300163",1,34593,0,0,1,0,0
"300165",0,17171,0,1,0,0,0
"300166",0,252,0,1,0,0,0
"300169",1,10840,1,0,0,0,0
"300171",0,0,1,0,0,0,0
"300172",1,0,1,0,0,0,0
"300173",1,27431,1,0,0,0,0
"300174",0,0,0,0,0,0,0
"300175",1,0,0,0,0,0,0
"300176",0,0,0,0,1,0,0
"300178",1,30,0,0,1,0,0
"300181",1,1929,0,0,0,1,0
"300182",1,0,0,0,0,1,0
"300187",1,90483,0,0,1,0,0
"300188",1,2940,0,0,1,0,0
"300189",0,19344,1,0,0,0,0
"300191",1,3900,1,0,0,0,0
"300192",1,47184,0,1,0,0,0
"300193",0,1008,0,0,1,0,0
"300196",1,3830,0,0,1,0,0
"300201",1,45677,1,0,0,0,0
"300202",1,22026,1,0,0,0,0
"300207",1,19501,1,0,0,0,0
"300209",0,60007,0,0,1,0,0
"300212",0,13383,0,0,0,1,0
"300214",1,42547,1,0,0,0,0
"300215",1,9285,1,0,0,0,0
"300218",1,2769,0,1,0,0,0
"300220",0,22820,1,0,0,0,0
"300221",0,6119,0,1,0,0,0
"300222",0,8952,0,0,0,0,1
"300223",1,8244,0,0,1,0,0
"300225",1,11797,0,0,1,0,0
"300228",0,53103,1,0,0,0,0
"300229",0,6432,0,0,1,0,0
"300232",1,0,0,0,0,1,0
"300234",1,0,1,0,0,0,0
"300238",1,20014,0,1,0,0,0
"300239",0,0,0,0,1,0,0
"300241",1,26700,0,0,1,0,0
"300242",1,16194,0,1,0,0,0
"300243",1,51495,1,0,0,0,0
"300245",0,3423,0,0,1,0,0
"300246",1,13500,0,0,0,0,0
"300247",1,2874,0,0,0,1,0
"300248",1,45968,0,1,0,0,0
"300250",0,29458,1,0,0,0,0
"300252",1,24365,0,0,1,0,0
"300253",1,3999,0,0,1,0,0
"300256",1,43734,0,0,1,0,0
"300257",0,83989,0,0,0,1,0
"300258",1,4881,1,0,0,0,0
"300259",0,0,0,0,0,1,0
"300260",0,0,0,0,0,0,1
"300265",0,37122,0,0,0,1,0
"300266",1,40305,1,0,0,0,0
"300270",1,225,1,0,0,0,0
"300273",0,2824,0,0,0,0,0
"300274",0,10371,0,0,1,0,0
"300276",1,25585,0,0,1,0,0
"300279",1,17470,0,0,0,1,0
"300282",1,0,0,0,0,1,0
"300283",0,5854,0,0,0,1,0
"300287",0,10047,0,1,0,0,0
"300288",0,62424,0,0,0,1,0
"300289",1,13023,0,1,0,0,0
"300290",1,0,0,0,0,0,0
"300292",1,0,0,1,0,0,0
"300293",1,4302,0,1,0,0,0
"300294",1,26214,0,1,0,0,0
"300298",0,17943,1,0,0,0,0
"300301",0,0,0,0,0,1,0
"300302",1,12586,0,0,0,1,0
"300303",1,5637,0,0,0,0,1
"300305",0,1935,0,0,0,0,0
"300306",1,11619,0,0,0,0,1
"300307",1,5992,0,1,0,0,0
"300308",0,2993,0,0,0,1,0
"300309",0,0,0,0,0,1,0
"300310",1,22614,0,0,1,0,0
"300312",1,30894,0,0,0,1,0
"300316",1,22636,0,0,1,0,0
"300317",1,22895,0,0,0,1,0
"300318",1,9343,0,0,1,0,0
"300320",1,17181,0,0,0,0,1
"300322",1,1611,0,0,1,0,0
"300325",0,1455,1,0,0,0,0
"300326",1,14757,1,0,0,0,0
"300327",1,0,0,0,0,1,0
"300330",1,11636,0,1,0,0,0
"300331",1,201,0,0,1,0,0
"300332",1,17739,0,1,0,0,0
"300333",0,8284,0,0,0,1,0
"300335",1,0,0,0,0,0,0
"300336",1,31312,0,1,0,0,0
"300337",1,17038,0,0,1,0,0
"300340",1,325,0,0,0,1,0
"300343",1,17160,0,0,1,0,0
"300344",1,19329,0,0,1,0,0
"300345",0,15841,0,0,0,0,1
"300346",0,7551,0,0,1,0,0
"300347",1,15,0,0,0,1,0
"300351",1,4939,0,1,0,0,0
"300352",1,65781,0,0,0,1,0
"300353",0,1956,0,0,0,1,0
"300355",1,0,1,0,0,0,0
"300356",1,4446,1,0,0,0,0
"300359",1,9449,0,1,0,0,0
"300360",1,31774,0,0,0,1,0
"300361",0,15361,0,0,1,0,0
"300362",1,27546,0,1,0,0,0
"300363",1,1440,0,1,0,0,0
"300366",1,14295,1,0,0,0,0
"300367",0,57159,0,1,0,0,0
"300368",0,285,0,0,0,1,0
"300372",1,7898,0,0,1,0,0
"300373",0,34745,0,0,0,0,0
"300375",0,3779,0,0,1,0,0
"300376",1,247,0,1,0,0,0
"300380",0,22289,1,0,0,0,0
"300381",1,8550,0,0,0,1,0
"300383",1,700,1,0,0,0,0
"300384",0,16977,0,0,0,0,1
"300385",1,19416,0,0,1,0,0
"300387",1,35986,0,0,0,1,0
"300390",1,7591,0,1,0,0,0
"300391",1,21561,0,1,0,0,0
"300392",1,4968,0,1,0,0,0
"300393",0,13367,0,0,0,1,0
"300394",1,15471,0,1,0,0,0
"300395",1,6489,0,0,1,0,0
"300398",0,337,0,1,0,0,0
"300400",1,510,0,0,1,0,0
"300403",1,62715,0,0,0,1,0
"300404",1,0,0,0,1,0,0
"300407",1,56963,1,0,0,0,0
"300408",1,4998,0,0,1,0,0
"300411",1,0,0,0,1,0,0
"300412",1,22951,0,1,0,0,0
"300415",1,43748,0,0,0,0,1
"300418",0,79720,0,0,0,1,0
"300420",1,5130,0,1,0,0,0
"300421",1,2613,0,0,1,0,0
"300422",1,14145,1,0,0,0,0
"300424",0,9755,1,0,0,0,0
"300426",0,0,1,0,0,0,0
"300429",1,14529,0,0,1,0,0
"300432",1,13346,1,0,0,0,0
"300433",0,12773,0,0,1,0,0
"300434",0,24807,0,1,0,0,0
"300436",1,2115,1,0,0,0,0
"300437",0,0,0,0,1,0,0
"300438",1,243,1,0,0,0,0
"300439",0,150,0,0,1,0,0
"300440",1,28249,0,1,0,0,0
"300441",1,2865,0,1,0,0,0
"300443",0,0,0,1,0,0,0
"300444",0,447,0,1,0,0,0
"300446",0,960,0,0,1,0,0
"300448",0,917,0,0,0,0,1
"300451",1,375,0,0,1,0,0
"300454",1,2359,0,1,0,0,0
"300456",0,22530,0,1,0,0,0
"300458",1,13280,0,0,0,1,0
"300460",0,690,0,0,0,1,0
"300461",1,15492,0,0,1,0,0
"300462",1,1215,0,0,0,0,1
"300463",0,395,1,0,0,0,0
"300464",0,15663,0,0,0,0,1
"300465",1,0,0,0,0,0,1
"300466",1,39360,0,0,1,0,0
"300467",0,1938,0,0,0,1,0
"300469",1,12845,0,0,1,0,0
"300470",1,634,0,0,1,0,0
"300472",0,3846,1,0,0,0,0
"300473",0,23628,0,0,0,1,0
"300474",1,42923,0,0,0,1,0
"300475",1,0,1,0,0,0,0
"300476",1,0,0,0,1,0,0
"300477",1,56776,0,1,0,0,0
"300478",1,24524,0,0,0,1,0
"300481",1,14362,0,0,1,0,0
"300483",0,87243,0,1,0,0,0
"300484",1,30747,0,1,0,0,0
"300485",0,0,1,0,0,0,0
"300487",1,62364,0,0,0,1,0
"300488",1,2614,0,0,1,0,0
"300489",1,0,0,0,0,1,0
"300492",1,0,0,0,1,0,0
"300495",1,31357,0,1,0,0,0
"300497",1,21204,0,0,0,0,0
"300498",0,17194,0,1,0,0,0
"300499",1,1087,1,0,0,0,0
"300501",1,90,1,0,0,0,0
"300502",0,861,1,0,0,0,0
"300503",1,49490,0,0,1,0,0
"300504",0,5199,1,0,0,0,0
"300506",1,213,0,0,0,0,0
"300507",1,15366,1,0,0,0,0
"300509",1,14132,0,0,1,0,0
"300511",0,1142,0,0,1,0,0
"300513",1,2260,0,0,0,1,0
"300516",1,51183,0,1,0,0,0
"300517",0,45354,0,0,0,1,0
"300521",1,0,1,0,0,0,0
"300525",1,79278,0,0,1,0,0
"300526",1,69042,0,1,0,0,0
"300527",0,0,0,0,0,1,0
"300528",0,22437,1,0,0,0,0
"300529",1,34373,0,0,0,0,0
"300531",1,3379,0,1,0,0,0
"300533",1,46443,1,0,0,0,0
"300535",0,2036,0,1,0,0,0
"300539",1,25767,0,0,0,1,0
"300541",1,24888,0,0,1,0,0
"300543",0,75,0,0,1,0,0
"300545",1,20058,0,0,0,0,1
"300548",1,3594,0,1,0,0,0
"300549",0,63423,0,1,0,0,0
"300552",1,24606,0,0,0,1,0
"300553",0,18975,0,0,0,0,1
"300554",1,0,0,0,0,0,0
"300555",1,20751,1,0,0,0,0
"300557",1,31765,0,0,1,0,0
"300558",1,15302,0,1,0,0,0
"300560",1,12327,0,1,0,0,0
"300564",1,11115,0,1,0,0,0
"300565",0,306,1,0,0,0,0
"300566",1,17127,0,0,0,1,0
"300567",1,18374,0,0,1,0,0
"300568",1,22698,1,0,0,0,0
"300571",0,68820,1,0,0,0,0
"300572",1,0,1,0,0,0,0
"300574",0,38945,0,0,1,0,0
"300575",0,28804,1,0,0,0,0
"300576",1,14625,0,1,0,0,0
"300577",0,46253,0,0,0,1,0
"300578",0,0,0,0,0,1,0
"300579",0,26040,0,0,1,0,0
"300581",1,41031,0,0,0,1,0
"300586",1,8775,0,1,0,0,0
"300589",1,321,0,0,1,0,0
"300590",1,30837,0,0,1,0,0
"300591",0,954,1,0,0,0,0
"300593",0,5737,1,0,0,0,0
"300594",1,82217,0,0,0,1,0
"300596",1,21616,0,0,0,1,0
"300598",1,80166,0,1,0,0,0
"300599",1,0,0,1,0,0,0
"300600",1,6821,0,1,0,0,0
"300603",0,18501,0,0,1,0,0
"300605",1,0,1,0,0,0,0
"300606",0,16332,0,0,0,0,1
"300607",0,29452,0,0,0,1,0
"300608",1,6965,0,0,1,0,0
"300610",1,1596,0,0,1,0,0
"300611",1,34612,0,0,1,0,0
"300613",0,12249,0,0,1,0,0
"300614",1,1565,1,0,0,0,0
"300615",1,26334,0,1,0,0,0
"300618",0,0,0,0,1,0,0
"300620",1,2322,1,0,0,0,0
"300621",1,36201,0,0,1,0,0
"300622",1,6747,0,1,0,0,0
"300624",0,0,0,0,0,1,0
"300625",0,13726,1,0,0,0,0
"300629",1,2806,0,1,0,0,0
"300631",1,15484,0,1,0,0,0
"300633",1,48553,0,1,0,0,0
"300634",1,978,0,0,1,0,0
"300635",1,38743,0,0,1,0,0
"300636",1,4633,1,0,0,0,0
"300638",1,0,0,0,1,0,0
"300642",1,24468,0,1,0,0,0
"300644",1,46159,0,0,1,0,0
"300645",1,18147,0,0,0,1,0
"300647",0,13874,0,0,1,0,0
"300648",1,13419,0,1,0,0,0
"300649",0,20442,0,0,1,0,0
"300651",1,5311,0,0,0,0,0
"300652",1,4593,0,0,1,0,0
"300654",1,254,0,1,0,0,0
"300655",1,2108,1,0,0,0,0
"300657",1,24799,0,0,0,1,0
"300658",1,18299,0,0,1,0,0
"300660",0,11010,0,1,0,0,0
"300661",1,56087,1,0,0,0,0
"300662",0,25401,0,0,1,0,0
"300663",1,23453,1,0,0,0,0
"300665",1,10101,0,0,1,0,0
"300666",1,18009,0,0,0,1,0
"300667",1,15176,0,0,1,0,0
"300670",1,8945,0,1,0,0,0
"300673",1,5952,1,0,0,0,0
"300674",1,16689,0,1,0,0,0
"300675",0,0,0,0,1,0,0
"300682",0,6180,0,0,0,1,0
"300686",0,0,0,0,0,1,0
"300689",0,2577,0,1,0,0,0
"300690",1,24536,0,0,0,0,1
"300691",0,39888,0,0,1,0,0
"300692",1,51060,1,0,0,0,0
"300693",1,28804,1,0,0,0,0
"300696",1,13812,0,0,1,0,0
"300697",1,25700,0,1,0,0,0
"300698",1,14291,0,1,0,0,0
"300699",1,588,0,0,0,1,0
"300700",1,16919,0,0,0,0,1
"300701",1,45958,0,0,1,0,0
"300706",1,17289,1,0,0,0,0
"300707",1,29797,0,0,0,1,0
"300711",1,16417,1,0,0,0,0
"300714",1,0,0,0,1,0,0
"300715",1,39570,0,0,1,0,0
"300716",1,18598,0,0,1,0,0
"300717",1,0,0,0,0,0,1
"300718",0,8717,0,0,0,1,0
"300719",1,12615,0,0,0,1,0
"300723",1,9219,0,0,0,1,0
"300724",0,34837,1,0,0,0,0
"300732",1,8513,0,0,0,1,0
"300734",1,18501,1,0,0,0,0
"300740",0,4614,0,0,0,0,0
"300741",1,5557,0,1,0,0,0
"300742",1,83490,0,1,0,0,0
"300743",0,41690,1,0,0,0,0
"300745",1,23765,0,0,0,1,0
"300746",1,33403,0,0,1,0,0
"300750",1,6930,0,1,0,0,0
"300751",0,10953,0,0,1,0,0
"300752",0,26475,1,0,0,0,0
"300753",1,40629,0,0,1,0,0
"300755",1,0,0,0,1,0,0
"300757",1,7872,0,0,1,0,0
"300758",1,26037,0,0,0,0,1
"300759",0,10350,0,0,0,0,1
"300761",1,0,0,0,0,0,1
"300762",0,6150,0,0,0,1,0
"300763",1,960,0,0,1,0,0
"300764",0,24333,0,0,0,1,0
"300766",1,10652,0,1,0,0,0
"300767",1,21175,0,1,0,0,0
"300769",0,11117,0,1,0,0,0
"300771",1,3345,0,1,0,0,0
"300772",1,61813,0,0,1,0,0
"300776",1,21572,1,0,0,0,0
"300777",1,3732,0,0,0,0,1
"300778",1,60,0,0,0,1,0
"300779",0,27660,0,1,0,0,0
"300780",1,45400,0,0,1,0,0
"300784",0,26314,0,0,0,1,0
"300788",1,3330,1,0,0,0,0
"300790",1,31957,1,0,0,0,0
"300792",0,34531,0,0,1,0,0
"300793",1,15218,0,1,0,0,0
"300794",1,22662,0,0,1,0,0
"300795",1,7501,1,0,0,0,0
"300796",0,7838,0,0,0,1,0
"300798",1,0,0,0,1,0,0
"300799",0,18101,0,0,1,0,0
"300800",1,0,0,0,0,1,0
"300802",1,1839,0,0,1,0,0
"300803",1,567,0,0,0,1,0
"300804",1,21569,0,0,0,0,1
"300805",1,24138,0,1,0,0,0
"300806",1,62019,0,1,0,0,0
"300807",1,12597,0,0,0,1,0
"300810",1,39383,0,1,0,0,0
"300811",0,1779,0,0,0,1,0
"300812",0,23466,0,0,0,1,0
"300814",1,22411,0,0,1,0,0
"300816",1,24049,0,1,0,0,0
"300818",1,0,0,0,1,0,0
"300819",0,8315,0,0,0,1,0
"300820",0,18615,0,0,0,1,0
"300822",1,25669,0,0,1,0,0
"300823",0,29961,0,1,0,0,0
"300824",1,23832,0,0,1,0,0
"300825",0,1971,0,0,0,1,0
"300826",1,981,0,0,1,0,0
"300828",1,47142,1,0,0,0,0
"300829",1,15438,0,1,0,0,0
"300830",1,63075,0,0,0,1,0
"300831",1,0,0,0,1,0,0
"300832",1,40236,0,0,1,0,0
"300833",0,0,0,0,1,0,0
"300835",0,1074,0,0,1,0,0
"300838",1,5376,0,0,0,1,0
"300840",1,10185,0,0,1,0,0
"300841",1,60033,0,0,0,1,0
"300842",1,17863,0,1,0,0,0
"300843",1,150,0,0,0,1,0
"300844",1,28847,1,0,0,0,0
"300851",1,28314,0,1,0,0,0
"300855",0,15850,0,0,0,1,0
"300856",0,4772,0,0,1,0,0
"300857",1,7512,0,0,0,0,1
"300858",1,17976,1,0,0,0,0
"300859",1,32178,0,0,0,1,0
"300862",1,23437,1,0,0,0,0
"300863",1,11383,1,0,0,0,0
"300865",1,15487,1,0,0,0,0
"300866",1,17413,0,0,0,1,0
"300867",0,5916,1,0,0,0,0
"300868",1,36010,1,0,0,0,0
"300869",1,0,0,0,0,1,0
"300871",1,56520,0,0,1,0,0
"300872",1,5850,1,0,0,0,0
"300876",1,39102,0,0,1,0,0
"300877",1,20358,0,0,1,0,0
"300880",0,0,0,0,1,0,0
"300882",1,2377,0,1,0,0,0
"300883",1,2479,0,0,1,0,0
"300884",1,63719,1,0,0,0,0
"300885",0,23725,0,0,1,0,0
"300888",1,828,0,1,0,0,0
"300891",0,11037,0,0,0,1,0
"300892",1,26906,0,1,0,0,0
"300894",0,24,0,1,0,0,0
"300895",1,5918,0,0,1,0,0
"300898",1,36669,0,0,1,0,0
"300901",1,4069,0,0,0,1,0
"300903",1,555,1,0,0,0,0
"300904",1,5712,0,1,0,0,0
"300905",1,31273,0,0,1,0,0
"300906",1,30439,0,0,1,0,0
"300909",1,13755,0,0,1,0,0
"300911",0,21310,1,0,0,0,0
"300912",0,417,0,1,0,0,0
"300913",1,26440,0,0,0,0,1
"300916",1,5865,0,0,0,1,0
"300917",1,11235,0,0,0,0,0
"300918",1,13825,0,0,0,0,1
"300920",1,26013,0,0,0,1,0
"300923",0,702,0,1,0,0,0
"300924",1,7086,1,0,0,0,0
"300929",0,4281,1,0,0,0,0
"300931",0,4572,0,1,0,0,0
"300932",1,32533,0,0,0,1,0
"300935",0,798,1,0,0,0,0
"300936",0,43006,1,0,0,0,0
"300938",1,34587,0,0,1,0,0
"300939",1,0,0,0,1,0,0
"300940",1,10191,1,0,0,0,0
"300941",0,11948,0,0,1,0,0
"300942",0,4389,0,1,0,0,0
"300943",1,0,1,0,0,0,0
"300944",1,0,0,0,0,1,0
"300946",1,22985,1,0,0,0,0
"300947",0,33937,0,0,1,0,0
"300948",1,21609,0,0,0,1,0
"300950",1,2625,1,0,0,0,0
"300951",1,3723,0,0,0,0,1
"300953",1,15223,0,1,0,0,0
"300954",1,5622,1,0,0,0,0
"300955",1,0,1,0,0,0,0
"300956",1,2343,0,0,0,1,0
"300958",1,14466,0,1,0,0,0
"300959",1,663,0,0,0,1,0
"300961",1,49363,0,0,1,0,0
"300962",1,4491,1,0,0,0,0
"300964",0,5168,0,0,0,1,0
"300969",1,2238,1,0,0,0,0
"300970",1,62132,0,0,1,0,0
"300973",1,17391,0,0,1,0,0
"300974",1,25791,0,1,0,0,0
"300975",1,13484,0,0,1,0,0
"300977",1,0,1,0,0,0,0
"300979",1,18390,0,0,0,0,1
"300981",1,29339,0,1,0,0,0
"300983",1,225,0,1,0,0,0
"300984",1,0,0,0,0,0,0
"300990",1,0,0,0,0,0,1
"300993",0,53830,1,0,0,0,0
"300996",1,10942,0,0,1,0,0
"300999",1,10728,0,0,0,1,0
"301000",1,5953,0,0,1,0,0
"301004",1,0,0,1,0,0,0
"301005",0,0,1,0,0,0,0
"301006",1,24971,0,0,1,0,0
"301007",1,1479,0,0,1,0,0
"301008",0,45465,0,1,0,0,0
"301012",1,36091,0,0,0,0,0
"301013",0,798,1,0,0,0,0
"301014",0,40727,0,0,0,0,0
"301015",1,34158,1,0,0,0,0
"301018",0,20115,0,0,1,0,0
"301020",0,1379,0,0,0,1,0
"301021",1,30549,0,0,1,0,0
"301022",1,0,1,0,0,0,0
"301023",1,2934,0,0,0,1,0
"301024",0,13,0,0,1,0,0
"301025",1,651,0,0,0,1,0
"301028",1,0,0,0,0,0,0
"301029",1,20196,0,0,1,0,0
"301031",1,352,0,0,0,0,1
"301032",1,11261,1,0,0,0,0
"301038",0,0,1,0,0,0,0
"301039",1,14103,0,1,0,0,0
"301042",0,5337,0,0,0,1,0
"301043",1,12747,0,0,0,1,0
"301044",0,48024,0,0,1,0,0
"301045",0,0,0,0,1,0,0
"301046",1,9931,0,1,0,0,0
"301047",1,0,0,0,0,0,1
"301048",1,15649,1,0,0,0,0
"301049",1,636,0,0,0,1,0
"301050",1,29302,0,1,0,0,0
"301051",1,52197,1,0,0,0,0
"301052",1,55929,1,0,0,0,0
"301053",1,0,0,0,1,0,0
"301054",0,1541,0,0,1,0,0
"301055",0,24885,0,0,1,0,0
"301059",1,19773,1,0,0,0,0
"301062",0,0,0,0,0,1,0
"301066",0,489,0,0,0,1,0
"301067",1,10251,1,0,0,0,0
"301068",1,18,0,0,1,0,0
"301070",0,0,0,1,0,0,0
"301072",0,0,0,0,1,0,0
"301073",1,0,0,0,1,0,0
"301074",1,9351,1,0,0,0,0
"301078",0,2691,0,1,0,0,0
"301081",0,17537,0,0,1,0,0
"301084",0,2074,0,1,0,0,0
"301085",1,12305,0,1,0,0,0
"301086",1,10375,0,0,1,0,0
"301088",0,13965,0,0,1,0,0
"301089",1,28635,0,0,0,0,0
"301091",1,13024,1,0,0,0,0
"301092",1,12714,0,1,0,0,0
"301093",1,15828,0,1,0,0,0
"301094",0,40418,1,0,0,0,0
"301095",1,11591,0,0,0,1,0
"301096",1,51541,0,0,0,1,0
"301102",1,5337,0,0,0,0,1
"301105",1,17263,1,0,0,0,0
"301106",1,61398,0,0,0,0,0
"301107",0,4943,0,0,0,0,0
"301109",1,46737,1,0,0,0,0
"301110",0,58942,0,0,0,0,1
"301114",1,25212,0,0,1,0,0
"301115",0,3170,0,0,0,0,1
"301117",1,5337,0,0,0,1,0
"301120",1,19094,0,0,0,1,0
"301121",1,0,0,0,1,0,0
"301123",1,36153,0,0,0,1,0
"301126",1,16363,1,0,0,0,0
"301127",1,33590,0,0,0,1,0
"301128",0,0,1,0,0,0,0
"301129",1,6822,0,1,0,0,0
"301131",1,0,1,0,0,0,0
"301136",1,52129,0,0,0,1,0
"301138",1,12412,1,0,0,0,0
"301143",1,0,0,1,0,0,0
"301145",1,13881,0,0,0,1,0
"301149",1,15109,0,0,1,0,0
"301152",1,8187,0,0,0,0,0
"301154",1,23555,0,1,0,0,0
"301156",1,7260,0,1,0,0,0
"301159",1,0,0,1,0,0,0
"301162",1,10242,0,1,0,0,0
"301163",1,10423,0,0,1,0,0
"301164",1,27295,0,1,0,0,0
"301165",1,63416,0,0,0,0,0
"301168",0,5835,0,0,1,0,0
"301169",0,25173,1,0,0,0,0
"301170",0,25648,0,1,0,0,0
"301171",0,10416,0,0,1,0,0
"301173",1,462,0,1,0,0,0
"301176",1,96,1,0,0,0,0
"301177",1,3297,0,0,1,0,0
"301182",1,14120,0,0,0,1,0
"301183",1,7612,1,0,0,0,0
"301184",0,6621,0,0,0,1,0
"301185",0,11712,0,1,0,0,0
"301186",0,25703,0,0,1,0,0
"301188",1,18161,0,0,0,1,0
"301189",1,0,1,0,0,0,0
"301192",1,33687,0,0,0,0,1
"301196",0,45264,0,0,1,0,0
"301199",0,1368,0,0,0,0,0
"301200",1,1128,0,0,0,0,1
"301201",1,59739,0,0,1,0,0
"301202",0,34585,0,0,1,0,0
"301203",1,7634,1,0,0,0,0
"301211",1,260,0,1,0,0,0
"301212",1,19425,0,0,1,0,0
"301214",0,15720,0,0,1,0,0
"301215",1,62799,0,0,0,0,0
"301218",0,38833,1,0,0,0,0
"301220",1,594,0,0,1,0,0
"301222",0,15236,0,1,0,0,0
"301224",1,859,0,0,0,1,0
"301227",1,14976,0,0,1,0,0
"301230",0,2172,0,0,1,0,0
"301232",1,19707,0,0,1,0,0
"301234",0,883,0,1,0,0,0
"301235",0,1191,0,0,1,0,0
"301236",0,25305,1,0,0,0,0
"301237",1,8873,0,1,0,0,0
"301238",0,44727,1,0,0,0,0
"301239",1,3303,0,0,1,0,0
"301240",1,20079,0,1,0,0,0
"301241",1,2053,1,0,0,0,0
"301243",1,1644,0,0,1,0,0
"301247",1,51410,0,0,1,0,0
"301248",1,16200,1,0,0,0,0
"301250",0,0,0,0,0,1,0
"301251",1,2820,0,0,0,1,0
"301252",1,606,1,0,0,0,0
"301253",1,0,0,0,1,0,0
"301255",1,13506,0,1,0,0,0
"301256",1,20396,0,1,0,0,0
"301264",1,37388,0,0,1,0,0
"301266",0,0,0,0,0,1,0
"301268",1,18393,0,0,0,1,0
"301270",1,19358,0,0,1,0,0
"301272",1,9652,0,0,0,1,0
"301273",1,13821,1,0,0,0,0
"301274",0,65805,1,0,0,0,0
"301275",1,40756,0,0,0,1,0
"301276",1,12129,1,0,0,0,0
"301278",1,41892,0,0,0,1,0
"301279",1,19099,0,0,1,0,0
"301283",1,29417,0,0,0,0,1
"301284",1,44804,1,0,0,0,0
"301285",0,27842,1,0,0,0,0
"301289",0,0,0,0,1,0,0
"301290",0,7767,0,0,0,0,0
"301292",1,4176,0,0,0,1,0
"301293",0,0,0,1,0,0,0
"301295",1,11477,0,1,0,0,0
"301297",1,26223,0,0,0,1,0
"301298",1,15651,0,0,1,0,0
"301299",1,8581,0,0,0,0,0
"301300",1,0,1,0,0,0,0
"301304",1,22185,1,0,0,0,0
"301306",1,12633,1,0,0,0,0
"301307",1,0,0,1,0,0,0
"301309",1,26463,0,0,1,0,0
"301310",1,7065,0,0,1,0,0
"301311",0,8774,1,0,0,0,0
"301312",1,2109,0,0,1,0,0
"301316",1,23838,1,0,0,0,0
"301317",1,15794,0,0,0,1,0
"301319",1,4728,0,0,1,0,0
"301322",1,13784,1,0,0,0,0
"301323",1,1702,0,0,0,1,0
"301325",0,226,0,0,1,0,0
